english,kky,tsc,category,image,audio,submitted by
stick,bogi,,tool,,,eric
sting-ray,tapimula,,animal,,,eric
sting-ray,aona,,animal,,,eric
stink,watiganu,,verb,,,eric
stomach,maita,,body part,,,eric
stomach,wera,,body part,,,eric
stone,kula,,environment,,,eric
stoop,apasin,,verb,,,eric
stop,seautari,,verb,,,eric
storm,köi-gubö,,environment,,,eric
straight,balbaiginga,,adjective,,,eric
stream,kasa,,environment,,,eric
stream,böbu,,environment,,,eric
strike,mataman,,verb,,,eric
strike,urimanö,,verb,,,eric
string,yadal,,tool,,,eric
string,urukamö,,tool,,,eric
strong,magas,,adjective,,,eric
strong,munakunanga,,adjective,,,eric
strong,kunakunanga,,adjective,,,eric
strong,kaibibirilinga,,adjective,,,eric
suck,suzu,,verb,,,eric
suck,puiman,,verb,,,eric
suffer,kikir,,verb,,,eric
sugar-cane,geru,,environment,,,eric
summit,gimalö,,environment,,,eric
sun,göiga,,environment,,,eric
sunrise,göiga-palagizö,,time,,,eric
sunset,göiga-putizö,,time,,,eric
swallow,angemin,,verb,,,eric
swear,gudo-tadiz,,verb,,,eric
sweat,magö,,verb,,,eric
sweat,murug,,verb,,,eric
sweet,mitalnga,,adjective,,,eric
sweet-potato,urugabau,,food,,,eric
sweet-potato,rugǎbu,,food,,,eric
swim,tapeipa,,verb,,,eric
swim,waeapa,,verb,,,eric
